region,region_kr,mmdd,risk_mean,risk_median,risk_q25,risk_q75,p_below_year_median,years,candidate
chukchi,추크치해,10-10,0.477297685922482,0.40045185097660385,0.32921570049390503,0.4987628617978093,0.6,10,False
chukchi,추크치해,10-11,0.5013102323739177,0.4288551987782403,0.3669214764942219,0.6157072349576654,0.5,10,False
chukchi,추크치해,10-12,0.5268746628757355,0.39454430865674417,0.34509613610178996,0.7623814185520471,0.2,10,False
chukchi,추크치해,10-13,0.5019305399553013,0.33135526903273954,0.29349261496795354,0.7617767068479551,0.6,10,False
chukchi,추크치해,10-14,0.48238592658986523,0.40878692562279756,0.2775182920342086,0.6443167943209762,0.5,10,False
chukchi,추크치해,10-15,0.5007750515685394,0.5505274437644377,0.2687047007168832,0.6313353912301213,0.4,10,False
chukchi,추크치해,10-16,0.531386976872785,0.5268668729638721,0.31985294814842924,0.6823860595705702,0.4,10,False
chukchi,추크치해,10-17,0.5767420618980876,0.5444380787704263,0.3766464532913636,0.8043752973978956,0.1,10,False
chukchi,추크치해,10-18,0.5674862298392265,0.44957602035226535,0.39435060829757823,0.8247997190315511,0.2,10,False
chukchi,추크치해,10-19,0.5731584398067373,0.5370311674335784,0.2852369930612046,0.8885434894516657,0.4,10,False
chukchi,추크치해,10-20,0.6274923255988982,0.5622296920805172,0.3644397931057841,0.9349491123621337,0.3,10,False
chukchi,추크치해,10-21,0.6466259973196957,0.5381764848039731,0.3474642523391025,0.981186312218129,0.3,10,False
chukchi,추크치해,10-22,0.6470671909546766,0.6997748809855037,0.344268530312318,0.9007827439188331,0.3,10,False
chukchi,추크치해,10-23,0.6551590676457943,0.5691123414419633,0.3883370721475055,0.9583503509820623,0.2,10,False
chukchi,추크치해,10-24,0.6543365953906186,0.7392625349951516,0.3600113224562229,0.9084832895308839,0.3,10,False
chukchi,추크치해,10-25,0.6457164696707911,0.7682854067660922,0.3402516528763249,0.9073112518141409,0.3,10,False
chukchi,추크치해,10-26,0.6484191867167584,0.7021633427511105,0.4422591645586861,0.8812106318282903,0.2,10,False
chukchi,추크치해,10-27,0.6792608500883838,0.7119827159809698,0.6061154058212104,0.8040759118027898,0.1,10,False
chukchi,추크치해,10-28,0.7182188912235478,0.7735967632974986,0.5866419636764533,0.8438219606031372,0.1,10,False
chukchi,추크치해,10-29,0.7937674220124424,0.7717802635775014,0.7069156240371454,0.8698004594356281,0.0,10,False
chukchi,추크치해,10-30,0.8166077967697948,0.8825073603717197,0.7206046933475805,0.9349361628710509,0.0,10,False
chukchi,추크치해,10-31,0.8126828479734947,0.9216830532978526,0.6055995890382976,0.9578733986407695,0.1,10,False
east_siberian,동시베리아해,07-01,0.5119940297457496,0.5021511181469126,0.4952780233520451,0.5240322103467236,0.3,10,False
east_siberian,동시베리아해,07-02,0.5342141123818339,0.5173981645004989,0.5002718958065783,0.5509371621459149,0.1,10,False
east_siberian,동시베리아해,07-03,0.5375532429646501,0.5265007090821698,0.4971953169292077,0.5517979580360932,0.2,10,False
east_siberian,동시베리아해,07-04,0.5278038787524307,0.5157145005482136,0.49170861879171085,0.5644453541182126,0.3,10,False
east_siberian,동시베리아해,07-05,0.5396053293819649,0.5297177104421951,0.5119156443266843,0.5573012234634159,0.1,10,False
east_siberian,동시베리아해,07-06,0.5265888140608876,0.515980444934499,0.5018922234319039,0.5522740290757363,0.1,10,False
east_siberian,동시베리아해,07-07,0.5107019556658983,0.5066210232215557,0.48777933729190787,0.5174545057557144,0.3,10,False
east_siberian,동시베리아해,07-08,0.5193433854436729,0.5167937053976054,0.49855560703470236,0.5218650637519191,0.3,10,False
east_siberian,동시베리아해,07-09,0.5228525731097752,0.5259323520573664,0.4970348107024688,0.5471102730768832,0.3,10,False
east_siberian,동시베리아해,07-10,0.5156119848875271,0.49867027800995156,0.48765729299245236,0.5190246487042313,0.4,10,False
east_siberian,동시베리아해,07-11,0.5318908225896288,0.5275408905653804,0.4891716145153136,0.56474543320741,0.2,10,False
east_siberian,동시베리아해,07-12,0.532296691640644,0.5300738068924165,0.5031832317592203,0.5547061771646874,0.2,10,False
east_siberian,동시베리아해,07-13,0.5251162663885229,0.5269087616486294,0.5126767920732224,0.549858399573887,0.1,10,False
east_siberian,동시베리아해,07-14,0.5135965386612169,0.5140896259739705,0.5005854041383639,0.5281229927437926,0.4,10,False
east_siberian,동시베리아해,07-15,0.5356777391064106,0.5375050422432888,0.506957446089726,0.5512837933916506,0.2,10,False
