datetime,cruise_year,era5_region,sog_ms,slow,ice,wind,cold,fog,composite
2020-08-15 12:00:00,2020,east_siberian,6.48827944083921,0,0.0,0.22933311462402345,0.0,1.0,0.19448883056640626
2020-08-15 13:00:00,2020,east_siberian,6.524404486150434,0,0.0,0.21109256744384766,0.0,1.0,0.18962468465169272
2020-08-15 14:00:00,2020,east_siberian,6.451915665758782,0,0.0,0.0,0.0,1.0,0.13333333333333333
2020-08-15 19:00:00,2020,east_siberian,6.21925548560103,0,0.0,0.31638660430908205,0.0,0.930078125,0.2083801778157552
2020-08-15 20:00:00,2020,east_siberian,6.173533309835155,0,0.0,0.33229414621988934,0.0,0.909765625,0.20991385565863716
2020-08-15 21:00:00,2020,east_siberian,6.172622575024549,0,0.0,0.39955151875813805,0.0,0.79306640625,0.2122892591688368
2020-08-15 22:00:00,2020,east_siberian,6.142793372221976,0,0.0,0.38800169626871744,0.0,0.83916015625,0.21535513983832466
2020-08-15 23:00:00,2020,east_siberian,6.08560804932227,0,0.0,0.37169799804687487,0.00426483154296875,0.87275390625,0.21605529785156247
2020-08-16 02:00:00,2020,east_siberian,6.19906878393401,0,0.0,0.3748750050862629,0.00455780029296875,0.86884765625,0.21642072889539926
2020-08-16 03:00:00,2020,east_siberian,6.3890828647437425,0,0.0,0.4016554514567057,0.0,0.8484375,0.22023312038845483
2020-08-16 04:00:00,2020,east_siberian,6.408880220961627,0,0.0,0.39651590983072915,0.0,0.87109375,0.22188340928819444
2020-08-16 07:00:00,2020,east_siberian,6.3615404758412035,0,0.0,0.401140022277832,0.0,0.86328125,0.22207483927408853
2020-08-16 08:00:00,2020,east_siberian,6.398459867472726,0,0.0,0.3803403854370117,0.00603485107421875,0.88671875,0.22045791625976563
2020-08-16 09:00:00,2020,east_siberian,3.068396726099343,1,0.0,0.3797767639160156,0.0,0.82705078125,0.2115472412109375
2020-08-16 10:00:00,2020,east_siberian,6.292853912605091,0,0.0,0.38158302307128905,0.0,0.82080078125,0.2111955769856771
2020-08-16 11:00:00,2020,east_siberian,5.527085167726138,0,0.0,0.37904256184895846,0.0,0.83564453125,0.21249728732638892
2020-08-16 12:00:00,2020,east_siberian,6.067717491588538,0,0.0,0.37959473927815757,0.0,0.83095703125,0.212019534640842
2020-08-16 13:00:00,2020,east_siberian,6.5702673109796175,0,0.0,0.3675306955973306,0.00254364013671875,0.85283203125,0.21205827501085067
2020-08-17 04:00:00,2020,east_siberian,5.965329182917474,0,0.0,0.03537473678588867,0.00304412841796875,0.96943359375,0.13909695943196615
2020-08-17 05:00:00,2020,east_siberian,6.297380596661594,0,0.0,0.0,0.01056365966796875,1.0,0.1347418212890625
2020-08-17 06:00:00,2020,east_siberian,6.353079616040616,0,0.0,0.0,0.01056365966796875,1.0,0.1347418212890625
2020-08-17 07:00:00,2020,east_siberian,6.542405950551438,0,0.0,0.0,0.01320037841796875,1.0,0.1350933837890625
2020-08-17 10:00:00,2020,east_siberian,6.345152494037401,0,0.0,0.17237993876139324,0.0,0.95859375,0.17378048366970486
2020-08-17 11:00:00,2020,east_siberian,6.17940139346993,0,0.0,0.2506847381591797,0.0,0.915625,0.1889325968424479
2020-08-17 13:00:00,2020,east_siberian,6.032802785460759,0,0.0,0.2968275705973306,0.0,0.95703125,0.20675818549262148
2020-08-17 14:00:00,2020,east_siberian,5.914396355225641,0,0.0,0.31522916158040376,0.0,0.96328125,0.2124986097547743
2020-08-18 17:00:00,2020,chukchi,6.389830120937189,0,0.0,0.0,0.01280975341796875,1.0,0.13504130045572915
2020-08-18 18:00:00,2020,chukchi,6.502284878249936,0,0.0,0.0,0.01212615966796875,1.0,0.13495015462239582
2020-08-18 19:00:00,2020,chukchi,4.536042156842881,1,0.0,0.0,0.00900115966796875,1.0,0.13453348795572917
2020-08-18 20:00:00,2020,chukchi,6.3208698461793835,0,0.0,0.0,0.01085662841796875,1.0,0.1347808837890625
2020-08-25 15:00:00,2020,chukchi,6.493650828341399,0,0.0,0.0,0.0,1.0,0.13333333333333333
2020-08-25 16:00:00,2020,chukchi,6.567621648631671,0,0.0,0.0,0.0,1.0,0.13333333333333333
2020-08-25 17:00:00,2020,chukchi,6.475445956253096,0,0.0,0.0,0.0,0.94287109375,0.12571614583333332
2020-08-25 18:00:00,2020,chukchi,6.5875911848403454,0,0.0,0.0,0.0,0.86005859375,0.11467447916666668
2020-08-25 19:00:00,2020,chukchi,6.603047827876922,0,0.0,0.0,0.0,0.79521484375,0.10602864583333332
2020-08-25 22:00:00,2020,chukchi,6.31227941104952,0,0.0,0.0,0.0,0.83955078125,0.11194010416666667
2020-08-25 23:00:00,2020,chukchi,6.507010618142281,0,0.0,0.0,0.0,0.84658203125,0.11287760416666666
2020-08-26 03:00:00,2020,chukchi,6.8617753950682525,0,0.0,0.04364636739095052,0.0,0.87255859375,0.1279801771375868
2020-08-26 06:00:00,2020,chukchi,6.425719751890713,0,0.0,0.043396409352620444,0.0,0.87412109375,0.1281218549940321
2020-08-26 07:00:00,2020,chukchi,6.585348371230728,0,0.0,0.0,0.0,0.90927734375,0.12123697916666666
2020-08-26 08:00:00,2020,chukchi,6.746271777972847,0,0.0,0.0,0.0,0.89833984375,0.11977864583333332
2020-08-26 09:00:00,2020,chukchi,6.791397274557099,0,0.0,0.0,0.0,1.0,0.13333333333333333
2020-08-26 10:00:00,2020,chukchi,6.612905900393272,0,0.0,0.0,0.0,1.0,0.13333333333333333
2020-08-26 11:00:00,2020,chukchi,6.712184137523241,0,0.0,0.0,0.0,0.9892578125,0.13190104166666666
2020-08-26 23:00:00,2020,chukchi,6.66680720460672,0,0.0,0.0,0.01448211669921875,1.0,0.1352642822265625
2020-08-27 00:00:00,2020,chukchi,6.598397026351238,0,0.0,0.0,0.01682586669921875,1.0,0.1355767822265625
2021-07-20 12:00:00,2021,chukchi,4.74704351275233,1,0.0,0.0,0.0,1.0,0.13333333333333333
2021-07-20 21:00:00,2021,chukchi,5.397803871524077,0,0.0,0.32769927978515623,0.0,0.99716796875,0.22034220377604166
2021-07-20 22:00:00,2021,chukchi,5.653267475314865,0,0.0,0.012771797180175782,0.0,1.0,0.13673914591471353
2021-07-20 23:00:00,2021,chukchi,6.245334418957891,0,0.0,0.1811084747314453,0.0,0.93232421875,0.17260548909505208
2021-07-21 00:00:00,2021,chukchi,6.560932875893401,0,0.0,0.2312872568766276,0.0,1.0,0.1950099351671007
2021-07-21 02:00:00,2021,chukchi,6.442889734590037,0,0.0,0.2029193878173828,0.0,1.0,0.1874451700846354
2021-07-21 03:00:00,2021,chukchi,6.092752551721985,0,0.0,0.15034898122151694,0.0,1.0,0.17342639499240453
2021-07-21 04:00:00,2021,chukchi,6.2172637728367866,0,0.0,0.15601441065470378,0.0,1.0,0.17493717617458768
2021-07-21 05:00:00,2021,chukchi,6.123901755777041,0,0.0,0.15601441065470378,0.0,1.0,0.17493717617458768
2021-07-21 10:00:00,2021,chukchi,6.143016151631217,0,0.0,0.20076637268066405,0.0,0.887890625,0.1719231160481771
2021-07-21 11:00:00,2021,chukchi,6.319806268353011,0,0.0,0.13889376322428384,0.0,0.914453125,0.15896542019314236
2021-07-21 13:00:00,2021,chukchi,6.483806429877755,0,0.0,0.02725811004638672,0.0,0.916796875,0.12950841267903646
2021-07-21 14:00:00,2021,chukchi,6.306219301779406,0,0.0,0.0,0.0,1.0,0.13333333333333333
2021-07-21 15:00:00,2021,chukchi,3.9133717305585383,1,0.0,0.14763174057006836,0.0,0.787109375,0.1443163808186849
2021-07-21 19:00:00,2021,chukchi,6.32871848847065,0,0.0,0.1532422383626302,0.0,0.786328125,0.1457083468967014
2021-07-21 20:00:00,2021,chukchi,6.340660351139117,0,0.0,0.15742616653442382,0.0,0.769921875,0.14463656107584633
2021-07-21 22:00:00,2021,chukchi,5.579030753123222,0,0.0,0.27119229634602865,0.0,0.56748046875,0.1479820081922743
2021-07-22 01:00:00,2021,chukchi,6.38758529426454,0,0.0,0.21471354166666667,0.0,0.49560546875,0.12333767361111111
2021-07-22 06:00:00,2021,chukchi,4.56261569669061,1,0.0,0.0,0.0,0.69130859375,0.09217447916666666
2021-07-22 08:00:00,2021,chukchi,6.60266127841887,0,0.0,0.0,0.0,0.72568359375,0.0967578125
2021-07-22 09:00:00,2021,chukchi,6.592959006570433,0,0.0,0.0,0.0,0.7833984375,0.10445312500000001
2021-07-22 10:00:00,2021,chukchi,6.618981550741413,0,0.0,0.0,0.0,0.8982421875,0.11976562499999999
2021-07-22 11:00:00,2021,chukchi,6.613682747481899,0,0.0,0.0,0.0,0.8982421875,0.11976562499999999
2021-07-22 12:00:00,2021,chukchi,6.721621005351176,0,0.0,0.0,0.0,0.7060546875,0.094140625
2021-07-22 13:00:00,2021,chukchi,6.768050595114518,0,0.0,0.0228668212890625,0.0,0.6701171875,0.09544677734375001
2021-07-22 14:00:00,2021,chukchi,6.683149408886191,0,0.0,0.0228668212890625,0.0,0.6701171875,0.09544677734375001
2021-07-22 17:00:00,2021,chukchi,6.211417277395255,0,0.0,0.0,0.0,0.97353515625,0.1298046875
2021-07-22 18:00:00,2021,chukchi,6.120299414120049,0,0.0,0.03701693216959635,0.0,0.97666015625,0.14009253607855904
2021-07-22 19:00:00,2021,chukchi,6.16684120542217,0,0.0,0.03701693216959635,0.0,0.97666015625,0.14009253607855904
2021-07-22 20:00:00,2021,chukchi,6.059935698791131,0,0.0,0.04711370468139649,0.0,0.98212890625,0.14351417541503905
2021-07-22 21:00:00,2021,chukchi,6.022260772082872,0,0.0,0.061591084798177084,0.0,0.96513671875,0.1451091851128472
2021-07-22 22:00:00,2021,chukchi,6.286493294330649,0,0.0,0.061591084798177084,0.0,0.96513671875,0.1451091851128472
2021-07-22 23:00:00,2021,chukchi,6.369309131620459,0,0.0,0.07651964823404948,0.0,0.93466796875,0.1450276353624132
2021-07-23 04:00:00,2021,chukchi,6.107209293671209,0,0.0,0.0,0.0,0.89609375,0.11947916666666666
2021-07-23 05:00:00,2021,chukchi,6.076554957028618,0,0.0,0.0,0.0,0.921875,0.12291666666666666
2021-07-23 06:00:00,2021,chukchi,5.863869260854361,0,0.0,0.0,0.0,0.921875,0.12291666666666666
2021-07-23 07:00:00,2021,chukchi,6.147706499529999,0,0.0,0.0,0.0,0.91953125,0.12260416666666667
2021-07-23 08:00:00,2021,chukchi,6.068707094584439,0,0.0,0.0,0.0,0.965625,0.12875
2021-07-23 11:00:00,2021,chukchi,6.28623100810473,0,0.0,0.0,0.0,0.96171875,0.12822916666666667
2021-07-23 12:00:00,2021,chukchi,6.324864714915508,0,0.01417759486607142,0.0,0.0,1.0,0.13994954427083334
2021-07-23 13:00:00,2021,chukchi,3.747802763011429,1,0.3416312081473214,0.0,0.01945037841796875,1.0,0.29535461425781245
2021-07-23 14:00:00,2021,chukchi,5.436262377697111,0,0.27610560825892855,0.0,0.01808319091796875,1.0,0.2645937093098958
2021-07-23 15:00:00,2021,chukchi,4.851938753044052,0,0.6407034737723214,0.0,0.0,1.0,0.43232828776041665
2021-07-23 16:00:00,2021,chukchi,2.9251356713129284,1,0.6407034737723214,0.0,0.0,1.0,0.43232828776041665
2021-07-23 19:00:00,2021,chukchi,2.88293144760372,1,0.6407034737723214,0.0,0.0,1.0,0.43232828776041665
2021-07-23 20:00:00,2021,chukchi,4.362846176225329,1,0.8439069475446428,0.0,0.0,1.0,0.5271565755208333
2021-07-23 21:00:00,2021,chukchi,4.558335954389029,1,0.8103376116071428,0.0,0.0,0.95048828125,0.5048893229166665
2021-07-23 23:00:00,2021,chukchi,3.83869590561673,1,0.8829258510044642,0.0,0.0,0.91533203125,0.5340763346354166
2021-07-24 00:00:00,2021,chukchi,2.369111587592772,1,0.8829258510044642,0.0,0.0,0.91533203125,0.5340763346354166
2021-07-24 01:00:00,2021,chukchi,4.589912150307182,1,0.8942609514508928,0.0,0.0,0.94814453125,0.5437410481770832
2021-07-24 02:00:00,2021,chukchi,5.356944226170845,0,0.8880266462053571,0.0,0.0,0.94736328125,0.5407275390624999
2021-07-24 03:00:00,2021,chukchi,4.730029365936969,1,0.8736397879464285,0.0,0.0,1.0,0.5410319010416665
2021-07-24 04:00:00,2021,chukchi,4.985303320034611,0,0.8916015625,0.0,0.0,1.0,0.5494140624999999
2021-07-24 05:00:00,2021,chukchi,4.670380468992372,1,0.8930838448660714,0.0,0.0,1.0,0.5501057942708333
2021-07-24 06:00:00,2021,chukchi,3.561999327459564,1,0.8930838448660714,0.0,0.0,1.0,0.5501057942708333
2021-07-24 07:00:00,2021,chukchi,4.613367331736642,1,0.8971819196428571,0.0,0.0,1.0,0.5520182291666667
2021-07-24 08:00:00,2021,chukchi,5.223489681999009,0,0.8957432338169642,0.0,0.0,1.0,0.5513468424479165
2021-07-24 09:00:00,2021,chukchi,4.47361731685004,1,0.8858904157366071,0.0,0.0,1.0,0.5467488606770833
2021-07-24 10:00:00,2021,chukchi,5.163857153581774,0,0.8884190150669642,0.0,0.0,1.0,0.5479288736979165
2021-07-24 11:00:00,2021,chukchi,4.51210178735511,1,0.8911220005580357,0.0,0.0,1.0,0.5491902669270833
2021-07-24 15:00:00,2021,chukchi,4.840053282430101,0,0.9022391183035714,0.08456796010335287,0.0,1.0,0.576929711235894
2021-07-24 16:00:00,2021,chukchi,5.426781541257822,0,0.9112200055803571,0.09538218180338541,0.0,1.0,0.5840045844184028
2021-07-24 17:00:00,2021,chukchi,4.939765976629981,0,0.9008876255580357,0.09870993296305339,0.0,1.0,0.5800702073838975
2021-07-24 18:00:00,2021,chukchi,4.012818522516674,1,0.9008876255580357,0.09870993296305339,0.0,1.0,0.5800702073838975
2021-07-24 19:00:00,2021,chukchi,5.653003794253921,0,0.9101300920758928,0.10100685755411784,0.0,0.9986328125,0.5848135799831813
2021-07-24 20:00:00,2021,chukchi,5.466425386187834,0,0.9151436941964285,0.09705063501993814,0.0,0.9837890625,0.5841191016303168
2021-07-25 02:00:00,2021,chukchi,4.937042708447895,0,0.8895961216517857,0.1542279561360677,0.0,1.0,0.5896056450737847
2021-07-25 03:00:00,2021,chukchi,5.613742254584556,0,0.9043317522321428,0.16919441223144532,0.0,1.0,0.6004733276367187
2021-07-29 02:00:00,2021,east_siberian,4.9069923225023535,0,0.7113734654017857,0.20991287231445313,0.0,0.7794921875,0.4918833414713541
2021-08-03 05:00:00,2021,east_siberian,5.249177703906844,0,0.5282679966517857,0.0,0.00045623779296875,0.992626953125,0.3789361572265625
2021-08-03 06:00:00,2021,east_siberian,5.402075051325781,0,0.5307965959821428,0.0,0.00192108154296875,0.995751953125,0.3807281494140624
2021-08-03 08:00:00,2021,east_siberian,6.216538139218937,0,0.3717564174107143,0.0,0.02262420654296875,0.960595703125,0.30458231608072917
2021-08-03 10:00:00,2021,east_siberian,6.179180052030897,0,0.3723667689732143,0.0,0.03639373779296875,0.9865234375,0.3101601155598958
2021-08-03 11:00:00,2021,east_siberian,6.519742370679145,0,0.2560511997767857,0.0,0.03658905029296875,0.9865234375,0.25590555826822914
