datetime,n_sec,latitude,longitude,temp_c,rh,wspd,wspd_max,wdir,pres_hpa,heading,sog_ms,cog_deg,qc_bad_temp,qc_bad_wspd,qc_bad_pres,wspd_zero_frac,cruise_year,t2m_C,wind_ms,siconc,d2m_C,era5_lat,era5_lon,era5_region
2021-08-25 08:00:00,3141,74.43755283333333,167.8172868333333,-0.78,98.8,7.0,12.8,8.440814319697873,995.34,57.95524815449448,0.031947419478381,133.16752997555596,0.0006367398917542,0.0,0.0003183699458771,0.0,2021,-1.112396240234375,4.199828147888184,0.0,-1.850189208984375,74.5,167.75,east_siberian
2021-08-25 09:00:00,3525,74.42637833333333,167.92812033333334,-0.59,94.8,6.5,12.7,9.90766916593631,995.64,95.71147190281944,4.716961548637974,110.21238604993955,0.0,0.0,0.0,0.0,2021,-0.532562255859375,7.064981937408447,0.0,-1.453216552734375,74.5,168.0,east_siberian
2021-08-25 10:00:00,3534,74.36487191666666,168.31088108333333,-0.61,95.3,7.3,13.4,4.6020796853637975,995.82,191.9320129007371,3.7339234761048217,191.98257898111729,0.0002829654782116,0.0,0.0002829654782116,0.0,2021,-0.987640380859375,7.4739484786987305,0.0,-1.738372802734375,74.25,168.25,east_siberian
2021-08-25 11:00:00,3573,74.30228216666666,168.08074000000002,-0.93,97.7,8.5,15.2,13.675743921412565,996.2,234.27331423759273,3.1265341999546834,231.44947880823165,0.0,0.0,0.0,0.0,2021,-0.913421630859375,7.272800445556641,0.0,-1.683685302734375,74.25,168.0,east_siberian
2021-08-25 12:00:00,3570,74.24068133333333,167.7881840833333,-1.34,98.9,8.0,13.9,8.29248543157177,996.69,232.55376337841383,3.0559528252948795,232.14026721918668,0.0,0.0,0.0,0.0,2021,-0.833343505859375,7.2002081871032715,0.0,-1.638763427734375,74.25,167.75,east_siberian
2021-08-25 13:00:00,3580,74.28193191666668,167.69788708333334,-1.27,99.1,8.4,22.3,15.575682601626731,995.9,11.045415620291356,5.158538530233533,10.789471340588124,0.0,0.0,0.0,0.0,2021,-0.833343505859375,7.2002081871032715,0.0,-1.638763427734375,74.25,167.75,east_siberian
2021-08-25 14:00:00,3561,74.4336475,167.8026391666667,-0.96,99.1,7.6,19.6,9.47100117154837,997.06,19.181043496364985,2.6661220102134666,22.318118253390864,0.0,0.0,0.0,0.0,2021,-0.485687255859375,7.040463924407959,0.0,-1.394622802734375,74.5,167.75,east_siberian
2021-08-25 15:00:00,3498,74.43762133333333,167.81699250000003,-0.69,97.5,7.1,11.4,350.72684969937006,997.74,34.407588043844775,0.0039161366670175,242.4258692467612,0.0005717552887364,0.0,0.0002858776443682,0.0,2021,-0.226409912109375,6.531064033508301,0.0,-1.420501708984375,74.5,167.75,east_siberian
2021-08-25 16:00:00,3541,74.4377225,167.81682650000002,-0.64,97.6,5.9,12.4,346.7441083253091,998.23,64.60548607326105,0.7143863193462874,93.10719350309095,0.0,0.0,0.0,0.0,2021,-0.226409912109375,6.531064033508301,0.0,-1.420501708984375,74.5,167.75,east_siberian
2021-08-25 17:00:00,3531,74.43076383333333,168.23843316666668,-0.64,97.6,7.1,14.3,344.80102246698107,998.41,32.291349256693515,0.0120446074690011,91.81226388404993,0.0,0.0,0.0,0.0,2021,-0.347503662109375,6.711015224456787,0.0,-1.611907958984375,74.5,168.25,east_siberian
